;2023;2023;2023;2022;2022;2022;
;;;;;;;
Rooms Occupied;91;1791;5367;96;1808;5824;
Complimentary Rooms;0;2;6;0;0;10;
House Use Rooms;0;0;3;0;2;11;
Rooms Occupied minus Comp and House Use;91;1789;5358;96;1806;5803;
Available Rooms;11;1167;3609;6;1150;3152;
Total Rooms in Hotel;102;2958;8976;102;2958;8976;
Out of Order Rooms;0;0;0;0;0;0;
Out of Service Rooms;1;26;120;2;30;106;
Total Rooms in Hotel minus OOO Rooms;102;2958;8976;102;2958;8976;
Available Rooms minus OOO Rooms;11;1167;3609;6;1150;3152;
Dirty Rooms;91;;;97;;;
% Rooms Occupied;89.22;60.55;59.79;94.12;61.12;64.88;
% Rooms Occupied minus Comp and House;89.22;60.48;59.69;94.12;61.05;64.65;
Room Revenue;468,907.54;9,194,789.84;27,998,830.34;444,956.00;8,411,812.95;25,883,294.44;
Revenue per Available Room;4,597.13;3,108.45;3,119.30;4,362.31;2,843.75;2,883.61;
ADR minus Comp and House;5,152.83;5,139.63;5,225.61;4,634.96;4,657.70;4,460.33;
% Multiple Occupancy;23.08;;;11.46;;;
Total Revenue;751,661.00;16,697,210.23;49,378,320.02;742,491.00;14,768,340.56;45,137,132.86;
Total Revenue per Person;6,479.84;6,469.28;6,390.36;6,939.17;5,945.39;5,587.66;
Food And Beverage Revenue;282,651.46;7,391,380.63;21,086,509.46;297,385.00;6,274,100.61;18,854,819.82;
Other Revenue;102.00;111,039.76;292,980.22;150.00;82,427.00;399,018.60;
Individual Revenue;635,086.00;15,155,424.23;44,522,084.62;608,141.00;12,516,962.06;38,096,256.36;
Block Revenue;116,575.00;1,541,786.00;4,856,235.40;134,350.00;2,251,378.50;7,040,876.50;
Travel Agent Revenue;271,416.00;3,716,894.00;11,055,754.50;212,790.00;4,487,426.89;14,567,422.38;
Company Revenue;216,090.00;4,745,913.36;11,811,049.80;356,840.00;3,715,898.50;11,435,465.50;
In-House Adults;108;2463;7334;107;2383;7730;
In-House Children;8;118;393;0;101;348;
VIP Persons In-House;0;2;7;0;2;10;
Arrival Rooms;41;1020;3153;37;925;2898;
Departure Rooms;37;1022;3141;33;904;2883;
Early Departure Rooms;0;94;233;2;72;178;
Day Use Rooms;0;27;78;1;31;127;
Reservations Made Today;61;1602;4877;96;1413;4316;
Cancelled Reservations for Today;6;165;473;4;146;608;
No Show Rooms;0;0;0;0;0;0;
Walk-in Rooms;0;1;7;1;15;33;
Departure Rooms for Tomorrow;56;;;35;;;
% Rooms Occupied for Tomorrow;56.86;;;87.25;;;
Individual Persons In-House;81;1873;6130;69;1803;5859;
Block Persons In-House;35;708;1597;38;681;2219;
Total In-House Persons;116;2581;7727;107;2484;8078;
Individual Rooms In-House;65;1427;4411;65;1361;4288;
Block Rooms In-House;26;364;956;31;447;1536;
Group Rooms In-House;27;395;1043;31;453;1611;
Blocks In-House;3;60;113;3;65;239;
Walk-in Persons;0;2;11;1;20;45;
Room Nights Reserved Today;103;2232;6367;90;2001;6625;
Doubles As Singles;89;1753;5266;93;1710;5483;
Individual Room Revenue;363,735.00;7,977,433.50;24,789,667.00;342,060.00;7,055,470.95;21,418,257.44;
Block Room Revenue;105,172.54;1,217,356.34;3,209,163.34;102,896.00;1,356,342.00;4,465,037.00;
Cancelled Rooms for Today;6;147;429;4;146;585;
Late Room Cancellations for Today;2;54;153;1;72;260;
Rooms Cancelled Today;8;148;422;4;137;544;
Day Use Reservations;0;40;101;2;35;140;
Rooms Occupied for the Next 7 Days;269;;;286;;;
